T_s,delta_m,jerk_integral,rms_jerk_mps3,target_error_m,min_gap_m,min_margin_m,min_speed_mps,max_speed_mps,min_accel_mps2,max_accel_mps2,max_abs_jerk_mps3,feasible
2.5,0.0,122.87999999999971,7.0108487360661185,0.0,40.0,-4.945767604018247,20.00000000000001,25.925925925925924,-5.633631442459672,1.6830141585090594,19.199999999999974,False
2.5,1.0,185.54879999999912,8.615075159277465,0.9999999999999787,39.000000000000014,-6.6197827098875734,19.99999999999998,26.550225980463615,-6.525280445828079,2.556059146966887,23.03999999999997,False
2.5,2.0,262.96319999999514,10.255987519493091,1.999999999999993,38.00000000000001,-8.30768485988497,20.000000000000014,27.216898167173497,-7.427124412285503,3.448128403043754,26.879999999999956,False
2.5,3.0,355.12319999999943,11.918442851312406,2.999999999999993,37.00000000000001,-10.003980414515167,20.000000000000014,27.907737641619665,-8.334983800778225,4.350225379805831,30.719999999999953,False
2.5,4.0,462.02879999999453,13.594540080488116,3.999999999999986,36.000000000000014,-11.705721080884347,20.0,28.613608136685567,-9.246684918389395,5.25824694868191,34.55999999999997,False
2.5,5.0,583.6799999999985,15.279790574481032,4.999999999999986,35.000000000000014,-13.411189244645838,20.0,29.32944606413993,-10.160987342259718,6.170057637044309,38.399999999999935,False
2.5,6.0,720.076799999996,16.971467821022387,5.999999999999972,34.00000000000003,-15.119318699175253,20.0,30.052226099563363,-11.077132189637497,7.084437325147772,42.23999999999993,False
2.5,7.0,871.219200000001,18.667824725982413,6.999999999999972,33.00000000000003,-16.82941342851943,20.0,30.78003194687259,-11.994629340403845,8.000638594655394,46.07999999999992,False
2.5,8.0,1037.1072000000038,20.367692063658108,7.999999999999986,32.000000000000014,-18.541000139984515,20.00000000000003,31.51159184381109,-12.913148227899804,8.918178155971832,49.919999999999895,False
2.5,9.0,1217.740799999995,22.07025872073089,8.999999999999986,31.000000000000007,-20.253745945189692,20.00000000000003,32.24602905368221,-13.832457841735032,9.836729702984991,53.75999999999994,False
2.5,10.0,1413.11999999999,23.774944794888505,9.999999999999986,30.000000000000014,-21.96740997556985,20.00000000000003,32.982719759579254,-14.752391894059397,10.756064988641608,57.599999999999945,False
2.75,-20.0,1318.061980366483,21.892813103569218,-19.99999999999997,48.324541813093376,2.336695807506437,10.841709458554478,25.0,-14.742653434245629,11.10897231579085,52.652141247182485,False
2.75,-19.0,1168.1348144376493,20.610101798854494,-18.99999999999997,48.26840173890665,2.326923465013637,11.513937845341712,25.0,-13.981739482573124,10.348406963382871,49.76709241172043,False
2.75,-18.0,1027.3635059701483,19.328391796621112,-18.0,48.20651002726938,2.3159091445895212,12.184882041613676,25.0,-13.221152787532759,9.588241512505775,46.88204357625839,False
2.75,-17.0,895.7480549639545,18.04789642704761,-16.99999999999997,48.13783754803252,2.303400510550267,12.85426604637709,25.0,-12.460961352141451,8.8285656476737,43.996994740796325,False
2.75,-16.0,773.2884614190566,16.768893945409285,-15.999999999999972,48.06108221351484,2.289072079576955,13.521728832378262,25.0,-11.701253407065824,8.069498017369066,41.11194590533427,False
2.75,-15.0,659.9847253354428,15.491754115545621,-14.999999999999986,47.97456975821317,2.272496728668387,14.186788956778754,25.0,-10.942145528217145,7.3111989432539035,38.22689706987222,False
2.75,-14.0,555.836846713155,14.21697892359254,-13.999999999999972,47.87610727712674,2.253102813830642,14.84878994822003,25.0,-10.183794999863055,6.553890458345336,35.341848234410165,False
2.75,-13.0,460.84482555214623,12.945266956089272,-12.999999999999972,47.762760909310906,2.2301076864460225,15.506813125054293,25.0,-9.42641925705301,5.797889123155142,32.45679939894811,False
2.75,-12.0,375.0086618524525,11.677619026503843,-11.999999999999986,47.63050746775899,2.2024110211575207,16.159532804117646,25.0,-8.6703276263606,5.043662242107432,29.571750563486056,False
2.75,-11.0,298.32835561406046,10.415519113568603,-10.999999999999986,47.47366832790449,2.1684166846540647,16.804964303074666,25.0,-7.915975487221408,4.291929535133144,26.686701728023998,False
2.75,-10.0,230.8039068369662,9.161260469785827,-9.999999999999986,47.28395061728395,2.1257209408616493,17.44000000000001,25.0,-7.164061732672173,3.5438597124701445,23.80165289256195,False
2.75,-9.0,172.43531552116855,7.918570016019732,-8.999999999999993,47.04874670338048,2.070535242140729,18.059494611896294,25.0,-6.41571592779869,2.8014839749519864,20.916604057099896,False
2.75,-8.0,123.22258166667545,6.693893599031487,-7.999999999999986,46.747971644180154,1.9965432837531147,18.654302086254752,25.0,-5.672888229786785,2.0686671896683055,18.03155522163784,False
2.75,-7.0,83.16570527348529,5.49927946597586,-6.999999999999986,46.34798471808911,1.8924472570732491,19.206593815703954,25.0,-4.939251760939889,1.3537610578633323,15.146506386175783,False
2.75,-6.0,52.26468634159389,4.359511496469796,-5.999999999999993,45.790668736007476,1.736181228687874,19.677219304078847,25.0,-4.222605846759066,0.6786597697317005,12.261457550713736,False
2.75,-5.0,30.519524871003775,3.3313674435584817,-5.0,44.99037968227684,1.4799968476847025,19.969831649831647,25.0,-3.5426526827571125,0.12357299701075387,9.376408715251682,False
2.75,-4.0,17.930220861714687,2.553444793480132,-4.0,44.0,1.0138446878712666,20.000000000000004,25.0,-2.963718478185804,0.0,6.491359879789628,False
2.75,-3.0,14.496774313726709,2.2959865626568075,-3.0,43.0,0.15153898517633868,20.0,25.0,-2.7328845175729195,0.0,4.327573253193087,True
2.75,-2.0,20.219185227039816,2.711536647668779,-2.0,42.0,-1.113274735825132,20.0,25.0,-3.090994657306026,0.0,7.212622088655137,False
