t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
1.06,21.199999997568366,0.00020365728726512428,2.5871684492534976e-05,-9.814334574202718e-05,-1.894455365654275e-05,1.8944553656542745e-05,9.081308672579946e-06,-7.819363113828557e-07,-0.0019628669148405438
1.07,21.399999997503926,0.00020873402809798664,2.489844676900186e-05,-9.65096448195141e-05,-1.6772924766867756e-05,1.6772924766867752e-05,1.177302035059978e-05,6.773115934331804e-06,-0.0019301928963902822
1.08,21.599999997444268,0.0002136187465538396,2.395639364242154e-05,-9.191629219262074e-05,-1.4143054448761197e-05,1.4143054448761196e-05,1.4518027018206959e-05,1.4892999587652721e-05,-0.0018383258438524148
1.09,21.79999999738899,0.00021832069450571486,2.3075949797288218e-05,-8.4198204667293e-05,-1.1055539016014443e-05,1.1055539016014443e-05,1.729005600492032e-05,2.35245729938262e-05,-0.00168396409334586
1.1,21.99999999733758,0.00022285536570155803,2.2289068772925522e-05,-7.321461342103712e-05,-7.5170090519891686e-06,7.5170090519891686e-06,1.8076937029283017e-05,2.8636865006576866e-05,-0.0014642922684207423
1.11,22.19999999728942,0.00022724424965672968,2.1621089348634416e-05,-6.0423908569824154e-05,-3.4357773083356737e-06,3.4357773083356737e-06,2.0729489172003682e-05,3.802320103567169e-05,-0.0012084781713964832
1.12,22.399999997243853,0.0002315134888408267,2.1098394533538076e-05,-4.416923852536278e-05,1.077418742544388e-06,1.077418742544388e-06,2.333431423383692e-05,4.7746047210218224e-05,-0.0008833847705072556
1.1300000000000001,22.599999997200126,0.00023569562580691628,2.075594843673621e-05,-2.4385927447671743e-05,6.0002717431303e-06,6.000271743130301e-06,2.586124253478859e-05,5.772275681270748e-05,-0.00048771854895343484
1.1400000000000001,22.79999999715739,0.0002398302492122439,2.062919130405742e-05,-1.0433104572311442e-06,1.1303679727568929e-05,1.1303679727568929e-05,2.827986374652963e-05,6.786340722062819e-05,-2.0866209144622885e-05
1.1500000000000001,22.999999997114667,0.00024396405429495446,2.0753688331707024e-05,2.5853058375720945e-05,1.6951685653930606e-05,1.6951685653930606e-05,2.815536671888003e-05,7.326241909169066e-05,0.0005170611675144189
1.16,23.19999999707085,0.00024815019300834475,2.115520364891214e-05,5.435499537798636e-05,2.3028262523050184e-05,2.3028262523050187e-05,3.0158374314743956e-05,8.334501115253809e-05,0.0010870999075597272
1.17,23.399999997024707,0.0002524462852831849,2.185893847045826e-05,8.628553019590938e-05,2.9373293508998893e-05,2.9373293508998893e-05,3.1977357360710274e-05,9.332800823041944e-05,0.0017257106039181877
1.18,23.59999999697475,0.0002569161676621751,2.2898640320351107e-05,0.0001215373297882915,3.593534236372079e-05,3.593534236372079e-05,3.358437632804639e-05,0.00010310409501981357,0.00243074659576583
1.19,23.799999996919173,0.00026163030533458173,2.430678084739632e-05,0.00015996268674212653,4.265664885269879e-05,4.265664885269879e-05,3.49530527709437e-05,0.00011256275439458619,0.0031992537348425306
1.2,23.999999996855763,0.0002666654964298648,2.6114149730973115e-05,0.00020137305073280744,4.9473424479230444e-05,4.9473424479230444e-05,3.31456838873669e-05,0.00011576479225396424,0.004027461014656149
1.21,24.199999996781788,0.00027210372178065683,2.8337870282282257e-05,0.0002432315265317749,5.646982693559955e-05,5.646982693559955e-05,3.383526885357845e-05,0.00012414036464275643,0.004864630530635497
1.22,24.399999996693946,0.0002780293832153596,3.099265753897402e-05,0.000287578097875494,6.343726835301481e-05,6.343726835301481e-05,3.423698191986696e-05,0.00013191123219274872,0.005751561957509879
1.23,24.599999996588185,0.0002845310854419705,3.4101943910118075e-05,0.0003341240180103054,7.030216705429896e-05,7.030216705429895e-05,3.4334426185747385e-05,0.00013897101942579373,0.006682480360206108
1.24,24.79999999645953,0.0002917018187063886,3.7686091680679255e-05,0.0003825441302395006,7.69869248692733e-05,7.69869248692733e-05,3.4114620266292876e-05,0.00014521616540185905,0.007650882604790013
1.25,24.99999999630192,0.0002996383089725549,4.176203812066609e-05,0.0004324787035202706,8.341057698930385e-05,8.341057698930385e-05,3.0038673826306038e-05,0.0001434879246419159,0.008649574070405413
1.26,25.1999999961081,0.00030843936258662943,4.6328936405873694e-05,0.00048074007680662183,8.96756049817282e-05,8.96756049817282e-05,2.9001471819569704e-05,0.0001476785486208676,0.009614801536132436
1.27,25.3999999958696,0.0003182022930523306,5.138197995234024e-05,0.0005297054091620358,9.553423221440576e-05,9.553423221440576e-05,2.7651602264253195e-05,0.00015083743674291215,0.010594108183240717
1.28,25.59999999557652,0.0003290248918340588,5.692608863779084e-05,0.0005789521664882996,0.00010090686719076366,0.00010090686719076367,2.5992667260629628e-05,0.0001528922017120229,0.011579043329765991
1.29,25.79999999521738,0.00034100550503697797,6.296185515784345e-05,0.0006280375141330035,0.00010571381078333324,0.00010571381078333324,2.403301431524149e-05,0.00015377983941381623,0.012560750282660071
1.3,25.999999994779003,0.00035424214904951145,6.948536267893597e-05,0.000676502434856345,0.00010987614065542229,0.00010987614065542229,1.750950679414896e-05,0.0001448951542437202,0.0135300486971269
1.31,26.19999999424655,0.00036883045929816765,7.64710535634034e-05,0.0007204891147848983,0.0001135420906975939,0.0001135420906975939,1.4800248277672857e-05,0.00014314258725293963,0.014409782295697966
