t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.97,19.39999999772364,0.00019624664762763917,4.324201823787698e-05,0.00017060605815902234,-6.549361937893247e-05,6.549361937893247e-05,-1.826305997570899e-05,2.5059621980782723e-05,0.0034121211631804467
0.98,19.599999997529082,0.0002050678502201761,4.49809181686465e-05,0.0001771521070897964,-6.919621672993221e-05,6.919621672993221e-05,-1.877382398099309e-05,2.602823137706296e-05,0.003543042141795928
0.99,19.799999997318576,0.00021424346392749416,4.6786552694617716e-05,0.00018395213058867917,-7.30659858776249e-05,7.30659858776249e-05,-1.9290943987701087e-05,2.7031646111426845e-05,0.0036790426117735836
1.0,19.999999997090846,0.0002237870925759677,4.866150548141004e-05,0.00019101488345966527,-7.711049278806206e-05,7.711049278806206e-05,-2.116589677449341e-05,2.8070924849883872e-05,0.003820297669193305
1.01,20.19999999684451,0.00023371286556226971,5.060844897629685e-05,0.0001983493664098452,-8.12667718386942e-05,8.12667718386942e-05,-2.176097927408523e-05,2.9163511142121794e-05,0.0039669873281969045
1.02,20.39999999657809,0.0002440354580277018,5.263017939520379e-05,0.00020597131002888003,-8.560712219065371e-05,8.560712219065372e-05,-2.236438850373755e-05,3.0295730861413057e-05,0.0041194262005776
1.03,20.59999999628997,0.00025477011816888643,5.472962153048543e-05,0.000213890718102882,-9.013981934996145e-05,9.013981934996145e-05,-2.2975782543041505e-05,3.146881086388763e-05,0.00427781436205764
1.04,20.799999995978425,0.00026593268924110004,5.690980165605062e-05,0.0002221178821973067,-9.487356252039817e-05,9.487356252039815e-05,-2.359476044787077e-05,3.268400341635376e-05,0.0044423576439461335
1.05,20.99999999564158,0.00027753963014382426,5.91738504270532e-05,0.00023066338602184305,-9.98174951874997e-05,9.98174951874997e-05,-2.585880921887335e-05,3.3942586404632326e-05,0.004613267720436861
1.06,21.19999999527742,0.0002896080365905992,6.15250058232118e-05,0.00023953810979137878,-0.00010489530300958958,0.00010489530300958956,-2.6572012658096883e-05,3.526565573946995e-05,0.004790762195827576
1.07,21.399999994883764,0.0003021556654976649,6.396665545753874e-05,0.0002487610728185129,-0.00011019456219981461,0.00011019456219981462,-2.72951883379371e-05,3.6636665018120154e-05,0.004975221456370258
1.08,21.599999994458262,0.0003152009680018469,6.650234237356732e-05,0.0002583443649937038,-0.00011572527593646828,0.00011572527593646826,-2.8027921712938816e-05,3.8057094111099256e-05,0.005166887299874076
1.09,21.799999993998373,0.0003287631160546873,6.91357322528741e-05,0.00026830042287952997,-0.00012149796061187429,0.00012149796061187429,-2.8769726450665558e-05,3.952845336726573e-05,0.005366008457590599
1.1,21.999999993501362,0.00034286202729846816,7.187061690791515e-05,0.00027864203491635416,-0.00012752367070598187,0.00012752367070598187,-3.150461110570661e-05,4.105228420505687e-05,0.005572840698327083
1.11,22.199999992964273,0.0003575183906460509,7.471091782757655e-05,0.0002893823467590541,-0.00013370991836400136,0.00013370991836400139,-3.236033930693845e-05,4.265408943785422e-05,0.005787646935181082
1.12,22.399999992383915,0.0003727536957498836,7.766073731873704e-05,0.00030054434355187486,-0.00014016278824302984,0.00014016278824302987,-3.322802855136205e-05,4.431385288690541e-05,0.006010886871037497
1.1300000000000001,22.599999991756842,0.00038859027290096514,8.072436548964068e-05,0.0003121426283648298,-0.00014689437543853663,0.00014689437543853663,-3.4107174518115885e-05,4.603335801574381e-05,0.006242852567296596
1.1400000000000001,22.799999991079343,0.00040505132515472814,8.390624057187779e-05,0.0003241922214066531,-0.00015391739631457453,0.00015391739631457453,-3.499718552129074e-05,4.7814424764654805e-05,0.006483844428133062
1.1500000000000001,22.9999999903474,0.0004221609583749166,8.721095312280463e-05,0.0003367085662106614,-0.00016124521854388006,0.00016124521854388006,-3.8301898072217576e-05,4.965891086553465e-05,0.006734171324213228
1.16,23.199999989556687,0.0004399442121242653,9.064325029181927e-05,0.0003497075362188455,-0.00016876575672594406,0.0001687657567259441,-3.932967232816318e-05,5.159763162786918e-05,0.00699415072437691
1.17,23.39999998870254,0.00045842709525166866,9.420809760772768e-05,0.0003632168942381764,-0.00017660751660901749,0.00017660751660901749,-4.037180177655914e-05,5.36063820335877e-05,0.007264337884763527
1.18,23.59999998777991,0.00047763663407919093,9.791068738062433e-05,0.00037725426750581816,-0.00018478512422056165,0.00018478512422056165,-4.1427670732226834e-05,5.568730906049627e-05,0.007545085350116363
1.19,23.799999986783355,0.0004976009111860152,0.00010175639070741684,0.0003918377844764317,-0.00019331395718504935,0.00019331395718504932,-4.249655708907682e-05,5.784260322430849e-05,0.007836755689528635
1.2,23.999999985707003,0.0005183491016694693,0.00010575076252070972,0.00040698608213956937,-0.00020221018097912557,0.00020221018097912557,-4.649092890236971e-05,6.007450122826264e-05,0.008139721642791387
1.21,24.199999984544515,0.0005399115104234485,0.00010989954671539951,0.00042271831424149485,-0.00021133796195041635,0.00021133796195041632,-4.7726407579538794e-05,6.242021545446266e-05,0.008454366284829897
1.22,24.399999983289053,0.0005623196150843033,0.00011420875075225599,0.00043906799234956696,-0.00022085296378551112,0.00022085296378551112,-4.897911129341501e-05,6.485048798260134e-05,0.008781359846991339
1.23,24.599999981933234,0.0005856061241881937,0.0001186846557511096,0.0004560563775449003,-0.00023077287198980788,0.0002307728719898079,-5.024828565524414e-05,6.736789992460298e-05,0.009121127550898006
1.24,24.79999998046909,0.000609805023957647,0.00012333375845857808,0.0004737053320998045,-0.00024111628071014479,0.00024111628071014479,-5.153304651160595e-05,6.997508418497639e-05,0.009474106641996091
1.25,24.999999978888017,0.0006349516220309808,0.00012816277730315622,0.0004920373280846388,-0.0002519027364551251,0.00025190273645512505,-5.636206535618409e-05,7.267473053427985e-05,0.009840746561692777
1.26,25.199999977180738,0.0006610825924119649,0.00013317865854559858,0.0005110754578134661,-0.00026296762526884616,0.0002629676252688462,-5.784825032015518e-05,7.551174395040892e-05,0.010221509156269322
1.27,25.399999975337238,0.0006882360272529427,0.00013838866629010334,0.0005308601399046202,-0.0002744995024532801,0.0002744995024532801,-5.93550840735099e-05,7.845077722319659e-05,0.010617202798092404
1.28,25.599999973346712,0.0007164515069880891,0.00014380039458652044,0.0005514169942010647,-0.0002865197484746548,0.0002865197484746548,-6.088163868809997e-05,8.14949282827655e-05,0.011028339884021294
1.29,25.79999997119749,0.0007457701567223054,0.00014942169729290078,0.0005727723601014102,-0.0002990508414599502,0.0002990508414599502,-6.242682781981584e-05,8.464735641665075e-05,0.011455447202028204
